_id,BatchFileName,Indiv_Index,ConductedEnergyWeapon_CartridgeProbe_CartridgeProbeCycles_Cyc
220,553347620,1,Extended Cycle (more than 5 seconds)
221,538631999,1,Single Cycle (5 seconds)
222,442886315,1,Single Cycle (5 seconds)
223,577169348,1,Single Cycle (5 seconds)
224,137804540,1,Single Cycle (5 seconds)
225,820437407,1,Single Cycle (5 seconds)
226,820437407,1,Multiple Cycles
227,857954763,1,Multiple Cycles
228,957179895,1,Single Cycle (5 seconds)
229,489878143,1,Single Cycle (5 seconds)
230,698798495,1,Single Cycle (5 seconds)
231,698798495,1,Multiple Cycles
232,451916155,1,Multiple Cycles
233,180932213,1,Single Cycle (5 seconds)
234,697129115,1,Single Cycle (5 seconds)
235,147016845,1,Single Cycle (5 seconds)
236,766270897,1,Single Cycle (5 seconds)
237,812060875,1,Single Cycle (5 seconds)
238,396495323,1,Single Cycle (5 seconds)
239,384749405,1,Single Cycle (5 seconds)
240,513839931,1,Single Cycle (5 seconds)
241,267895580,1,Single Cycle (5 seconds)
242,143997642,1,Single Cycle (5 seconds)
243,826267052,1,Multiple Cycles
244,959096217,1,Single Cycle (5 seconds)
245,163584256,1,Single Cycle (5 seconds)
246,334243341,1,Single Cycle (5 seconds)
247,854197108,1,Single Cycle (5 seconds)
248,138693738,1,Multiple Cycles
249,224201152,1,Single Cycle (5 seconds)
250,168892897,1,Multiple Cycles
251,539191932,1,Single Cycle (5 seconds)
252,467643383,1,Single Cycle (5 seconds)
253,787641719,1,Single Cycle (5 seconds)
254,280008829,1,Extended Cycle (more than 5 seconds)
255,658178818,1,Single Cycle (5 seconds)
256,475027876,1,Single Cycle (5 seconds)
257,251039079,1,Multiple Cycles
258,514678410,1,Single Cycle (5 seconds)
259,335745119,1,Single Cycle (5 seconds)
260,923820939,1,Single Cycle (5 seconds)
261,699777334,1,Single Cycle (5 seconds)
262,750584976,1,Extended Cycle (more than 5 seconds)
263,513287815,1,Single Cycle (5 seconds)
264,651643561,1,Single Cycle (5 seconds)
265,642673207,1,Single Cycle (5 seconds)
266,733936577,1,Single Cycle (5 seconds)
267,449834209,1,Single Cycle (5 seconds)
268,449834209,1,Multiple Cycles
269,106994662,1,Single Cycle (5 seconds)
270,192201756,1,Single Cycle (5 seconds)
271,281914103,1,Single Cycle (5 seconds)
272,281914103,1,Multiple Cycles
273,623965184,1,Single Cycle (5 seconds)
274,827006471,1,Single Cycle (5 seconds)
275,707037726,1,Single Cycle (5 seconds)
276,212960672,1,Single Cycle (5 seconds)
277,705726662,1,Single Cycle (5 seconds)
278,748743273,1,Single Cycle (5 seconds)
279,554809346,1,Multiple Cycles
280,796143278,1,Single Cycle (5 seconds)
281,621082238,1,Single Cycle (5 seconds)
282,621082238,1,Multiple Cycles
283,415077050,1,Single Cycle (5 seconds)
284,769835901,1,Multiple Cycles
285,885673000,1,Single Cycle (5 seconds)
286,700372898,1,Single Cycle (5 seconds)
287,849067418,1,Single Cycle (5 seconds)
288,849067418,1,Multiple Cycles
289,257448100,1,Single Cycle (5 seconds)
290,340273639,1,Single Cycle (5 seconds)
291,960151611,1,Single Cycle (5 seconds)
292,566583666,1,Single Cycle (5 seconds)
293,993681493,1,Single Cycle (5 seconds)
294,994108147,1,Multiple Cycles
295,804300427,1,Single Cycle (5 seconds)
296,867825620,1,Single Cycle (5 seconds)
297,786303056,1,Single Cycle (5 seconds)
298,500527120,1,Single Cycle (5 seconds)
299,345212201,1,Multiple Cycles
300,565163185,1,Single Cycle (5 seconds)
301,565163185,1,Extended Cycle (more than 5 seconds)
302,483369572,1,Single Cycle (5 seconds)
303,383174119,1,Single Cycle (5 seconds)
304,144489383,1,Single Cycle (5 seconds)
305,704548392,1,Single Cycle (5 seconds)
306,704548392,1,Multiple Cycles
307,258582512,1,Single Cycle (5 seconds)
308,258582512,1,Multiple Cycles
309,384112392,1,Extended Cycle (more than 5 seconds)
310,423443259,1,Single Cycle (5 seconds)
311,751091844,1,Single Cycle (5 seconds)
312,747167869,1,Extended Cycle (more than 5 seconds)
313,739751637,1,Single Cycle (5 seconds)
314,816204262,1,Extended Cycle (more than 5 seconds)
315,821521096,1,Extended Cycle (more than 5 seconds)
316,945166306,1,Single Cycle (5 seconds)
317,927725661,1,Single Cycle (5 seconds)
318,532087598,1,Single Cycle (5 seconds)
319,710340509,1,Single Cycle (5 seconds)
320,888716227,1,Single Cycle (5 seconds)
321,635942226,1,Single Cycle (5 seconds)
322,629352716,1,Single Cycle (5 seconds)
323,430856631,1,Single Cycle (5 seconds)
324,271139632,1,Single Cycle (5 seconds)
325,372745581,1,Single Cycle (5 seconds)
326,658976071,1,Multiple Cycles
327,383932698,2,Single Cycle (5 seconds)
328,448902803,1,Single Cycle (5 seconds)
329,562305035,1,Single Cycle (5 seconds)
330,707842657,1,Single Cycle (5 seconds)
331,767978069,1,Single Cycle (5 seconds)
332,791982224,1,Single Cycle (5 seconds)
333,116212182,1,Multiple Cycles
334,616988680,1,Single Cycle (5 seconds)
335,301273922,1,Extended Cycle (more than 5 seconds)
336,871288426,1,Single Cycle (5 seconds)
337,147100272,1,Single Cycle (5 seconds)
338,930409064,1,Single Cycle (5 seconds)
339,899526898,1,Single Cycle (5 seconds)
340,326445024,1,Single Cycle (5 seconds)
341,326445024,1,Multiple Cycles
342,236428664,1,Multiple Cycles
343,105988196,1,Multiple Cycles
344,179042634,1,Single Cycle (5 seconds)
345,179360529,1,Single Cycle (5 seconds)
346,676943437,1,Multiple Cycles
347,353303341,1,Single Cycle (5 seconds)
348,640788503,1,Extended Cycle (more than 5 seconds)
349,710391019,1,Multiple Cycles
350,156458987,1,Extended Cycle (more than 5 seconds)
351,602723979,1,Multiple Cycles
352,748600030,1,Single Cycle (5 seconds)
353,629403177,1,Extended Cycle (more than 5 seconds)
354,235323857,1,Extended Cycle (more than 5 seconds)
355,538065131,1,Single Cycle (5 seconds)
356,791605300,1,Multiple Cycles
357,498793346,1,Single Cycle (5 seconds)
358,535903592,1,Single Cycle (5 seconds)
359,535903592,2,Single Cycle (5 seconds)
360,973474608,1,Single Cycle (5 seconds)
361,650151742,1,Single Cycle (5 seconds)
362,716554024,1,Multiple Cycles
363,396651828,1,Single Cycle (5 seconds)
364,188818306,1,Single Cycle (5 seconds)
365,965551466,1,Single Cycle (5 seconds)
366,187468213,1,Single Cycle (5 seconds)
367,187468213,1,Multiple Cycles
368,990605912,1,Extended Cycle (more than 5 seconds)
369,520215140,1,Single Cycle (5 seconds)
370,757080806,1,Single Cycle (5 seconds)
371,683559998,1,Single Cycle (5 seconds)
372,526591589,1,Single Cycle (5 seconds)
373,577101676,1,Single Cycle (5 seconds)
374,380312087,1,Single Cycle (5 seconds)
375,179171009,1,Single Cycle (5 seconds)
376,253472066,1,Single Cycle (5 seconds)
377,199632438,1,Single Cycle (5 seconds)
378,235944368,1,Single Cycle (5 seconds)
379,235944368,2,Single Cycle (5 seconds)
380,208315421,1,Single Cycle (5 seconds)
381,806314333,1,Single Cycle (5 seconds)
382,806314333,2,Single Cycle (5 seconds)
383,630506323,1,Single Cycle (5 seconds)
384,872661471,1,Multiple Cycles
385,642853448,1,Single Cycle (5 seconds)
386,471002949,1,Single Cycle (5 seconds)
387,279738132,1,Multiple Cycles
388,461674463,2,Single Cycle (5 seconds)
389,461674463,2,Multiple Cycles
390,502673304,1,Multiple Cycles
391,867987822,1,Single Cycle (5 seconds)
392,273515201,1,Single Cycle (5 seconds)
393,608035608,1,Extended Cycle (more than 5 seconds)
394,475087272,1,Extended Cycle (more than 5 seconds)
395,999506920,1,Extended Cycle (more than 5 seconds)
396,202612482,1,Single Cycle (5 seconds)
397,645696083,1,Extended Cycle (more than 5 seconds)
398,649487186,1,Single Cycle (5 seconds)
399,795281448,1,Single Cycle (5 seconds)
400,119488890,1,Single Cycle (5 seconds)
401,315532417,1,Multiple Cycles
402,336974298,1,Multiple Cycles
403,880973548,1,Single Cycle (5 seconds)
404,622420462,2,Single Cycle (5 seconds)
405,622420462,2,Multiple Cycles
406,396983867,1,Single Cycle (5 seconds)
